Set,mean_abs_shap
brown,0.4619310279105189
lightblue,0.36440244319000487
utilities,0.3529939219990206
railroads,0.27192661233707327
orange,0.24094400254870502
pink,0.18587439160104194
red,0.16188462241091675
indigo,0.14007405189615435
green,0.11423144862910872
yellow,0.10779521283911302
