buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,actual_win_rate,avg_predicted_win_prob,roi,props,houses,hotels,turns
True,True,False,True,False,True,True,True,True,True,5,50,100,0.35,0.3630607878795827,3.858793333333333,8.9,1.27,1.52,130.96
False,True,True,True,True,False,False,True,False,True,3,50,100,0.32,0.3630281840948246,3.8352,8.67,1.87,1.97,125.04
False,True,True,False,True,False,True,False,False,False,3,50,100,0.32,0.3629708368678876,3.7324200000000003,9.2,1.64,2.18,113.41
True,True,False,False,False,True,False,True,True,True,3,0,100,0.35,0.362761073871695,3.7463866666666665,8.41,1.27,1.43,149.46
True,True,False,True,True,True,True,True,True,True,5,100,100,0.32,0.3620966688597607,3.17486,8.18,1.28,1.62,119.28
False,True,True,True,False,False,False,False,True,False,3,50,100,0.31,0.36045393842619156,4.45026,7.7,0.87,1.24,144.71
False,True,True,True,False,False,False,True,True,True,5,50,100,0.35,0.3601806649432895,4.07316,8.6,1.78,1.97,138.66
True,False,False,True,False,False,True,False,True,False,3,100,100,0.35,0.3598584302850248,3.8557666666666663,8.67,1.68,1.92,128.12
True,True,False,True,True,True,True,True,False,False,5,0,100,0.34,0.3596633211207058,3.6371066666666665,7.88,1.28,1.3,128.76
True,True,False,False,False,True,False,False,True,True,5,50,100,0.34,0.3593956692565186,3.7685666666666666,9.73,2.18,2.03,131.88
True,False,True,True,False,False,True,False,True,True,3,100,100,0.34,0.3593166538444267,3.9402,8.98,1.45,1.74,154.69
True,True,True,True,True,True,True,False,False,True,3,0,100,0.33,0.3593099395659168,3.6633733333333334,8.72,1.67,1.86,129.47
True,True,True,False,False,True,True,True,False,True,3,100,100,0.33,0.35924434936789895,3.4903333333333335,7.55,1.2,1.46,143.91
False,True,True,False,False,False,True,True,True,True,3,50,100,0.32,0.35907911317078633,3.9488533333333335,6.63,1.15,0.95,138.92
True,True,True,True,True,False,True,False,True,True,5,50,100,0.33,0.35868181043038966,3.55744,7.82,1.51,1.31,144.48
False,True,True,True,True,False,False,False,True,True,3,50,100,0.31,0.3583766814360681,4.473833333333333,7.99,1.32,1.4,150.17
True,False,False,False,False,False,False,False,True,False,5,0,100,0.36,0.3580810668828218,4.265666666666666,7.62,1.21,1.13,178.51
False,True,True,False,True,True,False,False,False,False,5,50,100,0.33,0.35750018160394825,3.4261399999999997,8.62,1.1,1.85,139.62
True,True,False,False,True,False,False,False,False,True,3,0,100,0.31,0.35701009073931816,3.362013333333333,8.63,0.98,1.66,137.4
True,True,False,True,True,True,False,False,False,True,3,0,100,0.35,0.3568241382723111,4.551026666666667,8.44,1.65,1.74,138.4
True,False,False,False,False,True,False,False,False,False,5,50,100,0.35,0.356751280225623,3.56202,9.44,1.98,1.73,122.52
True,False,True,False,False,False,True,False,True,True,3,0,100,0.32,0.35641940807641836,3.475573333333333,8.27,1.58,1.69,142.14
True,True,False,True,True,True,False,True,False,True,3,0,100,0.31,0.35599785089364927,3.835913333333333,8.29,1.53,1.6,134.31
False,True,True,True,True,True,False,False,False,False,5,50,100,0.3,0.35570280771557605,3.180153333333333,7.45,1.35,1.54,122.34
False,True,False,True,False,False,False,False,False,False,5,0,100,0.3,0.3555617251449562,5.0777866666666664,7.16,1.2,1.0,180.81
True,True,False,False,False,True,True,False,False,False,5,0,100,0.33,0.35553379138464813,4.922153333333333,7.13,0.91,1.37,152.49
True,False,False,True,False,True,True,False,True,True,5,50,100,0.34,0.3554866912023541,4.66836,9.99,2.27,2.03,159.21
False,True,True,False,True,False,False,False,True,True,5,50,100,0.33,0.3548744978233631,4.0937133333333335,8.17,0.74,1.57,151.76
True,False,True,True,True,False,True,False,False,False,5,100,100,0.31,0.35475191222569324,4.252366666666667,7.47,1.68,1.4,139.91
True,True,False,False,False,True,True,True,False,True,5,50,100,0.31,0.3547324367652983,3.79204,6.79,1.12,1.34,138.34
False,True,False,True,True,True,True,True,True,True,3,0,100,0.31,0.3546123918785,3.1413733333333336,6.96,1.14,1.49,126.37
True,False,False,True,True,True,False,False,True,True,3,50,100,0.3,0.3545950908706636,3.1742733333333333,7.14,1.31,1.56,137.82
True,False,True,False,True,False,True,False,False,False,5,100,100,0.34,0.35434601298698687,3.7769399999999997,8.28,2.1,1.87,133.06
True,True,True,False,False,False,True,True,True,False,3,100,100,0.34,0.3541767946654212,3.5232666666666663,8.22,1.19,1.36,133.38
False,True,False,True,True,True,True,False,True,True,3,50,100,0.34,0.35406434173492785,4.876093333333333,7.51,0.64,1.36,162.6
True,False,False,True,False,True,True,True,True,True,5,100,100,0.32,0.3535613651281966,3.966633333333333,7.65,1.21,1.4,134.98
True,True,False,True,False,True,False,False,False,True,5,100,100,0.32,0.3533376633732589,4.42258,7.83,0.91,1.33,147.66
True,True,True,True,True,True,False,False,False,False,5,0,100,0.3,0.3527157235537055,3.44768,8.05,1.48,1.6,141.08
True,False,True,False,False,True,False,False,False,False,3,0,100,0.32,0.3524013707111538,4.4762466666666665,8.08,1.63,1.77,140.49
True,True,False,False,False,True,True,False,True,True,3,0,100,0.33,0.35217266359332877,4.535786666666667,7.81,1.36,1.63,153.57
True,False,True,True,False,False,False,True,True,True,3,50,100,0.32,0.3518956662041986,3.84316,7.92,2.24,1.47,131.9
True,True,False,False,False,True,False,True,True,False,5,100,100,0.32,0.35132931493360564,4.048886666666666,8.19,1.94,1.53,136.61
True,True,False,True,True,False,False,True,False,True,5,100,100,0.34,0.35114425727138526,4.1671,8.77,1.54,1.91,164.46
True,True,True,False,False,False,True,True,False,True,3,0,100,0.36,0.350855376801514,4.219473333333333,8.35,1.06,1.45,144.84
True,True,False,True,True,True,False,False,True,False,3,100,100,0.31,0.35075567040871675,3.55906,8.15,1.64,1.74,168.01
False,True,True,False,False,True,True,True,False,True,3,0,100,0.32,0.35070653888889347,3.1951666666666667,8.19,1.43,1.49,129.11
True,False,True,True,True,True,False,False,True,False,5,0,100,0.34,0.35052961173301406,4.080186666666666,8.98,1.53,2.03,149.08
False,True,False,False,True,True,True,True,False,False,3,50,100,0.33,0.34972201498761185,3.026186666666667,9.63,2.16,2.32,111.79
True,False,True,True,True,False,True,False,True,False,5,100,100,0.34,0.34965052186478174,4.032873333333333,9.04,1.59,1.69,146.94
True,False,True,True,True,False,True,True,False,False,3,100,100,0.32,0.34960021274706315,4.612386666666667,7.28,0.67,1.14,169.91
False,True,True,False,True,True,False,False,True,False,5,50,100,0.31,0.34942806876050836,3.3503333333333334,8.1,1.72,1.83,137.93
False,True,True,True,True,True,True,True,True,True,3,100,100,0.36,0.34934037958680975,3.3219133333333333,8.29,1.09,1.72,131.72
