model,accuracy,roc_auc,avg_precision,logloss,brier
logistic,0.9755696614583332,0.926938074896099,0.8521356680505643,0.0988319763385427,0.0219565031738329
lightgbm,0.9760986328125,0.9382626808943034,0.8587985742955316,0.09296106422787845,0.021130499729918144
