buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,games_played,wins,win_rate,laplace_mean,wilson_lower,avg_pred_prob,repr_pred_prob
0,1,1,0,0,1,0,1,0,1,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.28781005923766567,0.28781005923766567
1,0,0,0,1,1,1,1,1,1,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2877066223071951,0.2877066223071951
0,0,0,1,1,1,1,0,1,1,5,0,1,1,1.0,0.6666666666666666,0.20654329147389294,0.28747083020609876,0.28747083020609876
1,1,1,0,0,1,0,1,1,1,3,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.28472737211154575,0.28472737211154575
0,0,0,1,1,1,0,1,0,0,5,50,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2832644736579824,0.2832644736579824
1,0,1,0,1,1,0,1,0,1,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2794468455841617,0.2794468455841617
0,0,0,1,1,1,1,1,0,0,5,50,1,1,1.0,0.6666666666666666,0.20654329147389294,0.278587980560348,0.278587980560348
0,0,0,1,1,1,1,0,1,1,5,50,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2742450767707831,0.2742450767707831
0,1,1,0,1,1,0,1,1,1,3,0,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2710374992628453,0.2710374992628453
1,0,0,1,1,0,1,1,0,0,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2700949039069888,0.2700949039069888
1,1,0,0,0,1,0,1,1,1,3,50,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2690906941752581,0.2690906941752581
1,0,0,1,0,1,0,0,0,0,3,50,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2689753273342522,0.2689753273342522
0,1,1,1,0,1,0,1,0,1,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2688219280858722,0.2688219280858722
1,0,0,1,0,1,0,0,0,1,3,50,1,1,1.0,0.6666666666666666,0.20654329147389294,0.26877696159366965,0.26877696159366965
0,0,0,1,0,1,1,0,1,1,3,50,1,1,1.0,0.6666666666666666,0.20654329147389294,0.26851299110206395,0.26851299110206395
1,1,0,1,1,1,1,1,1,0,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.26840171567874205,0.26840171567874205
1,0,1,1,1,0,1,1,0,0,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2673281789398487,0.2673281789398487
1,1,1,1,0,1,0,1,0,1,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.26553839136500706,0.26553839136500706
0,0,0,1,0,1,1,0,0,1,3,0,1,1,1.0,0.6666666666666666,0.20654329147389294,0.26342866643020524,0.26342866643020524
1,1,0,0,0,1,0,1,1,1,3,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.26107922899928926,0.26107922899928926
1,1,0,1,1,1,0,0,1,1,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.26105590905596787,0.26105590905596787
0,1,0,0,1,1,0,1,1,1,5,0,1,1,1.0,0.6666666666666666,0.20654329147389294,0.260660297418161,0.260660297418161
0,1,1,1,1,1,0,1,1,1,3,0,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2605472143423454,0.2605472143423454
0,1,1,1,1,1,0,1,0,1,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2602752040831029,0.2602752040831029
0,1,1,1,0,0,0,1,0,0,3,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2598533137580941,0.2598533137580941
0,0,0,1,0,1,1,0,0,1,3,50,1,1,1.0,0.6666666666666666,0.20654329147389294,0.25980634079271525,0.25980634079271525
1,0,1,1,0,1,1,1,0,0,5,0,1,1,1.0,0.6666666666666666,0.20654329147389294,0.25969049020196855,0.25969049020196855
0,0,0,1,0,1,1,0,1,1,3,0,1,1,1.0,0.6666666666666666,0.20654329147389294,0.25967360570170955,0.25967360570170955
0,0,1,1,0,1,1,1,0,0,5,0,1,1,1.0,0.6666666666666666,0.20654329147389294,0.25952519583479994,0.25952519583479994
1,1,1,1,0,0,1,1,1,1,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.259453064704503,0.259453064704503
1,1,1,1,1,1,0,0,1,1,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.25920523371250026,0.25920523371250026
1,1,0,1,0,0,1,1,1,0,3,0,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2572936650204653,0.2572936650204653
0,0,0,0,1,1,0,1,1,1,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.25709169202837945,0.25709169202837945
0,1,0,0,1,1,0,1,1,1,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2562133159010248,0.2562133159010248
0,1,1,0,0,1,0,1,1,1,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2559820354349224,0.2559820354349224
0,0,1,0,1,1,0,0,0,1,3,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2553914568549344,0.2553914568549344
0,0,0,1,1,1,0,0,1,1,5,0,1,1,1.0,0.6666666666666666,0.20654329147389294,0.25414353727026306,0.25414353727026306
1,1,1,1,1,1,1,1,0,0,5,100,1,1,1.0,0.6666666666666666,0.20654329147389294,0.2539161385061853,0.2539161385061853
0,1,0,1,0,1,1,1,1,0,5,0,1,1,1.0,0.6666666666666666,0.20654329147389294,0.25328088990713393,0.25328088990713393
