buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,wins,avg_props,avg_houses,avg_hotels,avg_turns,raw_win_rate,smoothed_win_rate,predicted_win_rate
0,1,0,0,1,0,0,1,1,0,5,100,100,31,8.73,2.02,1.84,138.08,0.31,0.30703647725642624,0.26865931840696594
1,1,0,1,1,1,1,0,1,1,3,100,100,28,7.61,1.94,1.53,134.27,0.28,0.27846504868499766,0.2685679071278694
1,1,0,0,1,1,1,0,1,1,5,100,100,30,7.61,1.19,1.47,144.44,0.3,0.2975126677326167,0.2685060918767932
1,1,0,1,1,1,1,1,0,0,3,0,100,29,7.31,1.32,1.41,138.28,0.29,0.2879888582088072,0.26842246342236387
1,1,0,1,1,1,1,1,0,0,5,0,100,34,7.88,1.28,1.3,128.76,0.34,0.3356079058278548,0.2683996864882851
1,0,0,1,1,1,1,0,0,1,3,0,100,34,7.83,1.68,1.49,138.95,0.34,0.3356079058278548,0.2683472992489017
0,1,1,0,1,0,1,0,0,0,5,0,100,29,7.55,1.14,1.3,161.2,0.29,0.2879888582088072,0.26817316555934034
1,1,0,0,0,0,1,1,0,1,5,0,100,27,6.89,0.98,1.28,133.83,0.27,0.2689412391611882,0.2680237842024525
0,1,0,0,1,0,0,0,0,1,5,100,100,31,7.55,1.6,1.43,140.49,0.31,0.30703647725642624,0.26789194432781666
0,1,1,1,1,1,0,1,1,0,3,0,100,31,8.15,0.85,1.37,153.83,0.31,0.30703647725642624,0.26787468592092856
1,0,1,0,0,1,0,0,1,0,3,50,100,27,6.74,0.46,1.49,124.9,0.27,0.2689412391611882,0.2678716884439137
1,0,1,1,0,1,0,0,1,1,3,0,100,27,7.82,1.61,1.46,166.77,0.27,0.2689412391611882,0.26786693561499086
1,0,1,1,0,1,0,0,1,1,5,0,100,32,8.74,1.68,1.62,143.55,0.32,0.3165602867802358,0.2678649686197541
0,1,0,0,1,0,0,0,1,1,5,100,100,27,7.5,1.27,1.43,126.3,0.27,0.2689412391611882,0.2676813587036393
1,1,0,0,1,1,1,0,1,1,3,100,100,33,7.82,1.52,1.53,140.37,0.33,0.3260840963040453,0.26761267733168004
1,0,1,1,1,0,1,0,0,0,5,0,100,31,6.48,0.6,1.0,150.33,0.31,0.30703647725642624,0.26761180812705276
1,1,0,1,0,1,0,1,1,0,3,100,100,30,9.22,1.2,1.52,161.18,0.3,0.2975126677326167,0.267606557875442
0,1,1,1,0,1,0,0,1,0,3,0,100,33,9.07,1.6,2.01,181.18,0.33,0.3260840963040453,0.26760038080816534
1,1,0,1,0,1,0,1,0,1,3,0,100,28,7.67,1.63,1.67,154.17,0.28,0.27846504868499766,0.2673526545607108
0,1,1,1,0,0,1,1,0,1,3,0,100,29,7.88,1.43,1.61,148.15,0.29,0.2879888582088072,0.2673277883552433
1,1,0,1,1,0,0,1,1,0,5,50,100,32,7.39,1.47,1.58,160.76,0.32,0.3165602867802358,0.267278252766923
0,1,1,1,0,0,1,0,0,1,3,0,100,34,7.37,0.76,1.1,160.19,0.34,0.3356079058278548,0.26722509877115114
0,1,1,1,0,0,1,1,0,1,5,0,100,30,8.55,2.23,1.9,119.1,0.3,0.2975126677326167,0.26702261202466226
0,1,1,1,1,1,0,1,1,0,5,0,100,28,7.69,1.3,1.27,168.6,0.28,0.27846504868499766,0.2669930269889155
0,1,1,1,1,1,0,0,1,1,3,50,100,38,8.96,1.86,1.84,145.9,0.38,0.3737031439230929,0.2669825744165616
0,1,0,0,1,0,0,1,0,0,5,100,100,23,6.9,0.98,1.17,165.73,0.23,0.23084600106595005,0.26694818790304925
0,1,1,0,0,1,1,0,0,0,5,0,100,36,8.51,1.24,1.68,136.6,0.36,0.35465552487547386,0.26691077062103935
1,0,0,0,0,1,1,1,0,1,5,50,100,29,6.88,0.89,1.37,121.52,0.29,0.2879888582088072,0.26689892569867474
0,1,1,0,0,0,1,0,0,1,3,0,100,29,8.01,1.23,1.55,137.93,0.29,0.2879888582088072,0.2668893226105573
1,1,0,0,0,1,1,1,0,1,5,0,100,26,7.31,1.17,1.32,163.47,0.26,0.2594174296373786,0.26685448112413185
1,1,0,1,0,1,0,1,0,0,3,100,100,28,6.69,1.08,0.85,186.89,0.28,0.27846504868499766,0.2668118056768051
0,1,1,1,1,1,0,0,1,1,3,0,100,23,6.37,1.71,0.97,111.64,0.23,0.23084600106595005,0.26679905190492703
1,0,1,0,0,0,1,1,0,1,5,0,100,28,8.08,1.85,1.52,140.37,0.28,0.27846504868499766,0.2667647088868666
0,1,0,0,1,0,0,1,1,1,5,100,100,35,8.7,1.09,1.67,176.65,0.35,0.3451317153516643,0.2666827439935053
1,0,0,1,0,0,1,0,1,1,3,0,100,29,7.72,1.05,1.55,131.57,0.29,0.2879888582088072,0.2666727645165107
1,0,1,0,0,1,0,0,0,0,3,50,100,27,8.05,1.09,1.48,165.87,0.27,0.2689412391611882,0.2666477187080646
0,1,0,1,1,1,1,0,1,1,3,50,100,34,7.51,0.64,1.36,162.6,0.34,0.3356079058278548,0.26662299222532365
1,0,0,1,1,1,1,0,1,1,3,0,100,30,7.52,1.71,1.23,148.41,0.3,0.2975126677326167,0.2665874167816346
1,0,1,1,1,1,0,0,0,1,5,0,100,27,6.34,1.12,1.17,135.67,0.27,0.2689412391611882,0.2665100742911707
0,1,0,1,1,1,1,1,1,1,5,50,100,35,9.99,2.41,2.15,126.88,0.35,0.3451317153516643,0.2664821292827649
1,1,0,0,1,0,0,1,1,0,5,50,100,36,9.06,1.73,2.34,122.44,0.36,0.35465552487547386,0.2664419415461112
1,1,0,0,1,0,0,1,1,0,5,100,100,28,7.02,1.38,1.25,166.13,0.28,0.27846504868499766,0.26636870834308657
1,1,0,0,0,1,1,0,0,0,5,0,100,33,7.13,0.91,1.37,152.49,0.33,0.3260840963040453,0.26633181261069927
1,0,1,1,0,1,1,0,0,1,3,0,100,29,6.78,0.77,1.15,132.74,0.29,0.2879888582088072,0.26631287888882954
1,0,1,1,1,1,0,1,1,0,5,0,100,31,8.19,1.12,1.27,165.52,0.31,0.30703647725642624,0.2662653009078394
0,1,1,1,0,0,1,0,1,1,3,0,100,29,8.05,1.83,1.32,156.3,0.29,0.2879888582088072,0.26625848008025044
0,1,0,1,0,0,0,1,0,0,5,100,100,29,7.88,1.03,1.51,118.19,0.29,0.2879888582088072,0.26625612264046367
1,0,1,0,0,0,1,1,0,1,3,100,100,27,6.94,1.38,1.51,138.28,0.27,0.2689412391611882,0.2661196911536699
1,1,1,0,0,1,0,0,1,0,3,0,100,25,7.29,0.65,1.05,157.36,0.25,0.2498936201135691,0.26610910113375325
0,1,0,0,1,0,0,1,0,0,3,100,100,34,8.37,1.33,1.47,172.11,0.34,0.3356079058278548,0.26603354774923266
1,1,0,1,1,0,0,1,1,0,5,100,100,30,6.47,0.82,1.22,153.1,0.3,0.2975126677326167,0.26603086909137935
0,1,1,0,1,0,1,1,0,0,3,0,100,31,8.25,1.09,1.6,163.35,0.31,0.30703647725642624,0.26602072486810574
1,0,0,1,0,1,1,0,1,0,3,100,100,31,8.68,1.68,1.99,139.8,0.31,0.30703647725642624,0.2658697094564233
1,0,1,0,1,0,1,0,0,0,5,100,100,34,8.28,2.1,1.87,133.06,0.34,0.3356079058278548,0.26586921104187794
1,1,1,0,0,0,1,1,0,1,5,0,100,27,7.73,1.32,1.29,142.74,0.27,0.2689412391611882,0.26586863101254254
1,0,0,1,1,1,1,1,0,1,5,100,100,29,7.75,1.39,1.58,139.7,0.29,0.2879888582088072,0.26575920346010284
0,1,0,0,1,0,1,1,0,0,3,0,100,29,7.72,1.46,1.54,158.18,0.29,0.2879888582088072,0.26572938066003554
1,0,1,1,1,0,1,1,0,1,5,0,100,26,6.75,1.03,1.23,155.83,0.26,0.2594174296373786,0.26571547722062916
1,1,0,1,0,1,1,1,1,1,5,50,100,35,8.9,1.27,1.52,130.96,0.35,0.3451317153516643,0.2656516231535629
1,0,0,0,0,0,1,0,1,0,3,100,100,30,7.78,1.78,1.39,130.76,0.3,0.2975126677326167,0.2656362949772083
0,1,1,1,1,1,1,1,1,1,3,100,100,36,8.29,1.09,1.72,131.72,0.36,0.35465552487547386,0.2656243588027261
1,1,0,1,0,1,1,1,0,1,5,50,100,27,7.2,0.77,1.41,156.36,0.27,0.2689412391611882,0.265540214841393
1,1,0,1,1,0,0,0,0,1,3,0,100,30,8.4,1.18,1.63,124.52,0.3,0.2975126677326167,0.2655240359818959
0,1,1,0,0,0,1,0,0,0,3,0,100,21,7.09,1.01,1.3,130.71,0.21,0.211798382018331,0.26550228033049394
1,1,1,0,0,0,1,0,0,0,5,100,100,34,9.03,2.11,1.8,140.8,0.34,0.3356079058278548,0.2654976051583485
0,1,0,1,1,0,0,1,1,0,5,50,100,35,9.73,1.54,2.01,134.89,0.35,0.3451317153516643,0.2654515306058746
1,1,0,1,0,1,1,0,0,0,5,0,100,23,6.06,0.92,1.12,134.14,0.23,0.23084600106595005,0.2653970002836958
1,0,0,1,1,0,1,0,1,1,3,0,100,28,7.62,1.03,1.21,158.51,0.28,0.27846504868499766,0.2653963471006829
1,1,0,1,0,1,0,1,1,0,5,100,100,29,8.27,1.85,1.86,146.98,0.29,0.2879888582088072,0.26538932232628054
1,1,0,1,0,1,0,0,0,0,5,0,100,23,5.87,1.37,0.97,159.7,0.23,0.23084600106595005,0.2653418557402469
1,0,1,0,0,1,1,1,0,1,3,0,100,27,8.02,1.94,1.59,116.33,0.27,0.2689412391611882,0.26531279387660067
0,1,1,0,0,1,1,1,1,1,3,100,100,34,9.27,2.29,1.98,140.19,0.34,0.3356079058278548,0.2653017182240839
0,1,1,1,1,1,0,1,1,0,5,50,100,31,7.84,1.01,1.36,128.43,0.31,0.30703647725642624,0.2652354668896583
1,0,0,1,1,0,1,1,1,1,5,100,100,29,8.08,1.58,1.63,127.81,0.29,0.2879888582088072,0.2652066725638602
1,1,0,0,0,0,1,0,1,1,3,100,100,28,7.35,1.91,1.56,135.02,0.28,0.27846504868499766,0.2651419238206921
0,1,1,1,0,1,1,1,1,1,3,100,100,22,6.16,0.88,1.03,140.45,0.22,0.22132219154214053,0.2651415997828191
1,0,0,1,1,0,0,1,0,1,5,0,100,39,8.71,1.54,1.49,153.26,0.39,0.38322695344690244,0.2650984185991224
1,1,0,1,1,1,0,1,1,0,3,100,100,30,8.36,1.41,1.94,159.86,0.3,0.2975126677326167,0.2650771923004125
0,1,1,1,0,1,0,0,1,0,3,50,100,26,7.28,1.24,1.2,117.68,0.26,0.2594174296373786,0.26504861053040174
0,1,1,0,1,0,1,0,0,0,3,0,100,24,6.92,0.92,1.22,134.42,0.24,0.2403698105897596,0.26504673688482994
0,1,1,0,0,0,1,1,0,1,5,0,100,24,7.11,1.39,1.11,151.81,0.24,0.2403698105897596,0.2650374160261305
1,0,0,1,1,0,1,0,1,0,5,100,100,27,6.98,1.49,1.55,164.48,0.27,0.2689412391611882,0.2650370419583308
1,0,0,1,1,0,0,0,1,1,5,50,100,40,9.75,2.01,2.13,149.56,0.4,0.392750762970712,0.2650262046729538
1,0,0,1,0,1,1,1,0,1,5,100,100,27,6.5,0.82,1.13,170.1,0.27,0.2689412391611882,0.2649571209299035
1,0,0,1,1,0,1,0,1,1,5,0,100,28,8.54,1.75,2.02,150.54,0.28,0.27846504868499766,0.26492991927717635
1,0,0,1,1,1,1,0,0,0,5,0,100,32,7.8,1.62,1.43,149.4,0.32,0.3165602867802358,0.2649175408427035
1,0,1,0,0,1,0,0,0,0,5,0,100,30,7.69,1.46,1.55,135.4,0.3,0.2975126677326167,0.2649131337352746
1,0,0,1,1,0,1,0,1,1,5,100,100,31,7.8,1.61,1.69,146.93,0.31,0.30703647725642624,0.2649111270690066
0,1,0,0,0,0,1,1,0,1,3,0,100,31,9.11,1.74,1.57,138.79,0.31,0.30703647725642624,0.2648723074537913
1,0,0,1,1,1,0,0,1,1,5,0,100,25,6.86,1.61,1.29,150.65,0.25,0.2498936201135691,0.26486665045390867
1,1,0,1,1,1,0,1,0,0,3,50,100,35,8.22,1.31,1.69,128.92,0.35,0.3451317153516643,0.2648652460784169
1,1,0,1,1,1,1,1,1,1,5,50,100,28,7.6,1.62,1.56,121.98,0.28,0.27846504868499766,0.26483464396048495
1,1,0,1,0,1,1,1,0,0,3,50,100,32,8.9,1.35,2.11,126.24,0.32,0.3165602867802358,0.26483098801173566
1,0,1,1,1,0,1,0,0,0,5,100,100,31,7.47,1.68,1.4,139.91,0.31,0.30703647725642624,0.2647964763375946
1,0,1,0,1,0,0,1,1,0,5,0,100,28,8.49,1.26,1.5,129.07,0.28,0.27846504868499766,0.26477041428491677
1,0,1,0,0,0,0,0,0,1,3,100,100,26,7.24,0.89,1.28,141.11,0.26,0.2594174296373786,0.26470956249857547
0,1,1,1,0,1,0,0,1,1,3,0,100,23,6.69,1.01,1.42,129.67,0.23,0.23084600106595005,0.26470861139754037
1,0,0,0,0,0,1,1,1,1,5,100,100,33,8.7,1.57,1.8,137.11,0.33,0.3260840963040453,0.2647077338769968
1,1,1,1,1,1,0,0,0,1,3,0,100,27,6.74,1.03,1.3,128.04,0.27,0.2689412391611882,0.2646758980112939
1,0,1,1,0,0,1,1,0,1,5,0,100,27,6.08,0.46,1.05,151.98,0.27,0.2689412391611882,0.26464696660468606
1,1,0,0,0,1,1,1,0,1,3,0,100,36,7.73,1.16,1.59,148.79,0.36,0.35465552487547386,0.2646129137461426
1,0,0,1,1,0,1,1,0,1,5,0,100,26,6.85,1.12,1.29,156.34,0.26,0.2594174296373786,0.26452898996973473
1,1,0,0,0,0,1,0,0,0,5,100,100,32,8.07,1.71,1.68,126.07,0.32,0.3165602867802358,0.26449677571875835
1,1,0,1,1,1,1,0,0,0,5,0,100,32,8.16,2.11,1.91,129.03,0.32,0.3165602867802358,0.2644487331925101
1,1,0,0,1,1,1,1,1,1,5,100,100,27,6.5,1.2,1.27,148.11,0.27,0.2689412391611882,0.26444335161897703
0,1,1,0,1,1,0,1,0,0,3,0,100,20,5.56,0.61,1.07,119.79,0.2,0.2022745724945215,0.26443693421017006
0,1,1,0,1,1,0,0,0,0,3,50,100,26,8.16,1.7,1.65,149.75,0.26,0.2594174296373786,0.26443304515710686
1,1,0,0,0,1,1,1,0,1,5,50,100,31,6.79,1.12,1.34,138.34,0.31,0.30703647725642624,0.2644310883919775
1,1,0,0,0,1,0,1,1,0,5,100,100,32,8.19,1.94,1.53,136.61,0.32,0.3165602867802358,0.264384343271531
1,0,1,1,0,1,0,1,1,0,3,50,100,37,9.19,1.38,1.8,142.74,0.37,0.3641793343992834,0.2643763522227569
0,1,1,1,1,1,0,0,1,0,5,50,100,28,8.12,1.49,1.63,142.71,0.28,0.27846504868499766,0.26432675757670043
1,1,1,0,1,0,1,0,0,0,5,0,100,31,8.57,1.47,1.78,142.18,0.31,0.30703647725642624,0.2642985509229033
0,1,0,1,1,1,1,0,1,1,5,100,100,31,7.57,1.28,1.27,175.18,0.31,0.30703647725642624,0.2642916165187297
0,1,1,0,1,1,1,1,0,0,3,0,100,30,7.96,1.62,1.5,134.41,0.3,0.2975126677326167,0.26423975240638137
0,1,0,0,0,0,1,1,0,0,3,0,100,36,9.11,2.47,1.95,114.44,0.36,0.35465552487547386,0.26418913054574567
0,1,1,0,0,0,1,1,0,0,5,0,100,31,9.09,1.65,1.77,142.16,0.31,0.30703647725642624,0.2641585736764002
1,0,1,0,0,1,0,0,0,1,3,100,100,30,7.49,1.36,1.77,116.76,0.3,0.2975126677326167,0.2641571055417038
0,1,0,0,1,1,1,1,0,1,5,50,100,32,8.5,1.48,1.64,118.53,0.32,0.3165602867802358,0.2641417996109113
1,1,1,1,0,1,0,1,0,0,5,100,100,33,9.14,1.53,1.7,150.06,0.33,0.3260840963040453,0.2641402192710079
0,1,0,0,1,0,0,1,0,1,3,100,100,28,7.39,1.81,1.41,131.94,0.28,0.27846504868499766,0.2641316843780951
1,0,1,1,1,0,0,0,1,0,5,0,100,23,7.01,0.98,1.21,160.39,0.23,0.23084600106595005,0.2641277316965332
0,1,0,1,0,0,1,1,0,1,5,0,100,28,7.81,1.14,1.48,135.1,0.28,0.27846504868499766,0.26410717995344707
0,1,1,0,0,0,1,1,1,1,5,0,100,25,7.51,0.76,1.33,156.78,0.25,0.2498936201135691,0.26403682932673794
0,1,0,0,1,0,0,1,0,1,5,100,100,22,6.77,1.44,1.39,150.96,0.22,0.22132219154214053,0.264003832960178
1,1,0,0,0,0,0,1,0,1,5,100,100,31,7.4,0.78,0.97,154.88,0.31,0.30703647725642624,0.26399685257104066
0,1,1,0,0,1,0,0,0,0,3,0,100,23,6.36,1.15,1.28,129.33,0.23,0.23084600106595005,0.26398770671049443
1,0,1,0,0,1,0,1,0,1,3,100,100,31,8.83,2.36,1.78,117.14,0.31,0.30703647725642624,0.26394614570973046
1,0,0,1,1,0,1,0,1,0,5,50,100,27,8.08,1.72,1.47,151.36,0.27,0.2689412391611882,0.2639193289175403
0,1,0,0,0,1,1,1,0,1,5,0,100,31,8.15,1.57,1.63,139.36,0.31,0.30703647725642624,0.2638359728282311
1,1,0,1,1,0,1,0,1,1,3,0,100,28,6.95,1.21,1.23,124.9,0.28,0.27846504868499766,0.26380987817327
0,1,0,1,1,1,1,0,1,1,3,100,100,20,6.3,0.68,1.1,124.29,0.2,0.2022745724945215,0.2637915770446102
1,1,0,1,0,1,0,1,0,1,3,100,100,27,7.07,1.15,1.43,149.82,0.27,0.2689412391611882,0.2637356975500374
