buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,wins,avg_props,avg_houses,avg_hotels,avg_turns,raw_win_rate,smoothed_win_rate
0,1,0,0,0,1,0,0,1,1,3,100,100,26,7.49,1.37,1.47,136.27,0.26,0.2594174296373786
0,1,0,0,0,1,0,0,1,1,5,0,100,32,8.14,1.74,1.47,138.91,0.32,0.3165602867802358
0,1,0,0,0,1,0,0,1,1,5,50,100,18,5.31,0.58,0.97,120.71,0.18,0.18322695344690243
0,1,0,0,0,1,0,0,1,1,5,100,100,28,7.54,1.04,1.37,151.6,0.28,0.27846504868499766
0,1,0,0,0,1,0,1,0,0,3,0,100,22,5.05,0.96,0.56,162.91,0.22,0.22132219154214053
0,1,0,0,0,1,0,1,0,0,3,50,100,22,6.02,1.08,0.99,129.32,0.22,0.22132219154214053
0,1,0,0,0,1,0,1,0,0,3,100,100,32,8.4,1.78,1.7,126.11,0.32,0.3165602867802358
0,1,0,0,0,1,0,1,0,0,5,0,100,29,7.55,1.42,1.53,136.21,0.29,0.2879888582088072
0,1,0,0,0,1,0,1,0,0,5,50,100,21,5.82,0.79,0.94,148.13,0.21,0.211798382018331
0,1,0,0,0,1,0,1,0,0,5,100,100,24,6.61,1.39,1.22,127.84,0.24,0.2403698105897596
0,1,0,0,0,1,0,1,0,1,3,0,100,22,5.69,1.2,0.78,129.36,0.22,0.22132219154214053
0,1,0,0,0,1,0,1,0,1,3,50,100,34,7.83,1.77,1.38,145.81,0.34,0.3356079058278548
0,1,0,0,0,1,0,1,0,1,3,100,100,24,6.9,1.17,1.48,111.32,0.24,0.2403698105897596
0,1,0,0,0,1,0,1,0,1,5,0,100,23,6.07,1.0,0.94,134.07,0.23,0.23084600106595005
0,1,0,0,0,1,0,1,0,1,5,50,100,23,7.27,1.65,1.37,133.34,0.23,0.23084600106595005
0,1,0,0,0,1,0,1,0,1,5,100,100,15,5.01,0.66,0.69,140.06,0.15,0.15465552487547388
0,1,0,0,0,1,0,1,1,0,3,0,100,28,7.26,1.72,1.41,123.98,0.28,0.27846504868499766
0,1,0,0,0,1,0,1,1,0,3,50,100,26,6.85,0.93,1.46,113.94,0.26,0.2594174296373786
0,1,0,0,0,1,0,1,1,0,3,100,100,22,6.19,1.47,0.91,134.71,0.22,0.22132219154214053
0,1,0,0,0,1,0,1,1,0,5,0,100,24,6.22,0.97,1.32,118.38,0.24,0.2403698105897596
0,1,0,0,0,1,0,1,1,0,5,50,100,28,7.1,1.12,1.12,144.81,0.28,0.27846504868499766
0,1,0,0,0,1,0,1,1,0,5,100,100,22,5.69,0.65,0.76,158.88,0.22,0.22132219154214053
0,1,0,0,0,1,0,1,1,1,3,0,100,20,6.13,0.73,0.9,152.46,0.2,0.2022745724945215
0,1,0,0,0,1,0,1,1,1,3,50,100,22,7.53,1.3,1.51,142.05,0.22,0.22132219154214053
0,1,0,0,0,1,0,1,1,1,3,100,100,16,4.84,0.7,0.77,150.29,0.16,0.1641793343992834
0,1,0,0,0,1,0,1,1,1,5,0,100,24,6.58,1.59,1.32,147.32,0.24,0.2403698105897596
0,1,0,0,0,1,0,1,1,1,5,50,100,22,5.94,0.52,0.98,149.65,0.22,0.22132219154214053
0,1,0,0,0,1,0,1,1,1,5,100,100,25,7.25,0.88,1.3,158.88,0.25,0.2498936201135691
0,1,0,0,0,1,1,0,0,0,3,0,100,25,6.78,0.98,1.37,146.75,0.25,0.2498936201135691
0,1,0,0,0,1,1,0,0,0,3,50,100,19,6.67,0.73,0.96,164.05,0.19,0.19275076297071195
0,1,0,0,0,1,1,0,0,0,3,100,100,35,8.66,1.63,1.76,128.55,0.35,0.3451317153516643
0,1,0,0,0,1,1,0,0,0,5,0,100,24,6.42,1.32,1.2,140.99,0.24,0.2403698105897596
0,1,0,0,0,1,1,0,0,0,5,50,100,26,6.98,0.98,1.13,155.47,0.26,0.2594174296373786
0,1,0,0,0,1,1,0,0,0,5,100,100,30,7.48,1.18,1.48,162.7,0.3,0.2975126677326167
0,1,0,0,0,1,1,0,0,1,3,0,100,26,7.7,1.17,1.49,141.59,0.26,0.2594174296373786
0,1,0,0,0,1,1,0,0,1,3,50,100,28,7.9,1.29,1.46,123.02,0.28,0.27846504868499766
0,1,0,0,0,1,1,0,0,1,3,100,100,30,8.52,1.24,1.38,180.75,0.3,0.2975126677326167
0,1,0,0,0,1,1,0,0,1,5,0,100,19,6.14,1.08,1.02,145.38,0.19,0.19275076297071195
0,1,0,0,0,1,1,0,0,1,5,50,100,31,8.46,1.33,1.84,154.11,0.31,0.30703647725642624
0,1,0,0,0,1,1,0,0,1,5,100,100,17,4.77,0.51,0.44,141.35,0.17,0.1737031439230929
0,1,0,0,0,1,1,0,1,0,3,0,100,20,6.14,0.96,1.13,125.28,0.2,0.2022745724945215
0,1,0,0,0,1,1,0,1,0,3,50,100,28,7.65,1.08,1.38,138.47,0.28,0.27846504868499766
