buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,pred_avg_win_regressor,pred_game_win_prob_classifier
0,1,0,1,1,1,1,0,0,0,3,0,0.2333557551580943,0.24930968722986174
0,1,1,1,1,1,0,0,0,0,3,0,0.24428643175916676,0.24929572969659647
0,1,1,1,1,0,0,0,1,0,3,50,0.2601476761128779,0.24927117168946622
0,1,0,1,1,1,1,0,0,0,5,0,0.24133865698518628,0.24926995625091003
0,1,0,1,1,0,0,0,0,0,5,0,0.21038652395195634,0.24926404610731234
0,1,1,1,0,0,0,0,0,0,5,0,0.23007425145981186,0.24926249227648906
0,1,1,1,1,0,0,0,0,0,3,0,0.2334718011422732,0.24924618931677633
0,1,1,0,1,0,0,0,1,0,5,50,0.24254568305857607,0.24924583249819715
0,1,1,0,0,0,0,0,1,0,3,0,0.23256527389953077,0.24923990089329004
0,1,0,1,1,1,0,0,1,0,5,0,0.24355065787760719,0.24923967908986583
0,1,0,0,1,0,0,1,1,0,5,0,0.24438275144028895,0.2492391070953674
0,1,0,0,1,1,0,0,1,0,5,0,0.22990347648293902,0.24923560024253444
0,1,1,0,0,0,0,1,1,0,3,50,0.2393755196857159,0.24923374490060196
1,1,1,1,1,1,1,1,1,0,5,0,0.2524073676079241,0.24923024109250616
0,1,1,1,1,1,0,0,1,0,5,0,0.2613609170026189,0.24922306060159133
1,1,1,1,0,1,1,1,1,1,3,0,0.22871377088355674,0.2492216964300174
0,1,0,0,0,0,1,1,1,1,3,50,0.2569909763870619,0.2492130485354036
1,1,0,0,0,0,1,1,0,1,3,0,0.2718688995650457,0.2492118554643621
0,1,0,1,0,1,1,1,0,1,3,100,0.2526202802289533,0.2492112650539386
0,1,1,0,0,1,0,1,1,0,5,100,0.2428962733213318,0.24920179845583257
1,0,1,1,1,1,0,1,1,0,3,50,0.26006214110122244,0.24919849788403808
1,1,1,0,1,1,1,1,1,0,5,0,0.24475678612800086,0.24919677921214728
0,1,0,0,1,1,1,1,0,0,5,0,0.23502477050301873,0.2491949273244513
1,0,0,1,1,1,1,1,0,1,3,50,0.25331184766481424,0.24919096674307495
0,1,1,0,0,1,1,0,0,0,5,0,0.2639504127868314,0.2491886193727447
1,0,0,0,0,0,0,0,1,0,3,100,0.253357190473997,0.24918078513376618
1,1,1,0,0,1,0,1,1,1,3,0,0.23488243889598429,0.24918050884572357
0,1,1,1,1,0,0,0,1,0,5,50,0.25334822653263295,0.24917512126866467
0,1,1,0,0,0,1,1,1,1,3,100,0.2751980090069785,0.24917311562094197
0,1,0,0,1,0,1,1,0,0,3,0,0.26679917013575705,0.24916836491732847
0,1,0,0,1,1,0,1,0,0,3,0,0.23528617784384442,0.24915758251761733
0,1,0,0,1,0,0,0,1,0,3,0,0.24086030520119622,0.2491527933266678
0,1,1,0,0,1,1,0,0,0,5,50,0.25875175158361924,0.2491460650117081
0,1,0,1,1,0,0,1,1,0,5,0,0.24570242453254587,0.24913363842830222
1,1,1,0,1,0,0,1,0,0,3,50,0.2507993358651859,0.2491309976757136
0,1,1,1,0,1,0,1,0,0,5,0,0.2528143906231415,0.24912950601548395
0,1,1,1,0,1,0,0,0,0,5,0,0.24392877799202708,0.249128611498668
0,1,0,1,1,1,1,1,0,0,5,0,0.24524855848863644,0.24912556734234878
0,1,0,1,0,1,1,0,0,0,3,0,0.25415562992868146,0.24911603205654248
0,1,0,0,0,1,1,1,0,1,5,100,0.23701968082231747,0.24909600280982014
1,1,0,1,0,1,1,1,1,1,3,0,0.2537626727765019,0.24909065428280397
0,1,1,0,1,0,0,0,1,0,3,50,0.24071294996635265,0.24908546106312945
0,1,1,0,0,0,0,1,0,0,3,0,0.237267547056195,0.24908515664913367
1,0,0,0,0,0,0,0,0,0,3,100,0.2552770102495012,0.24908361402445806
0,1,0,0,1,1,1,1,0,0,3,0,0.23979737681913524,0.24908244679775157
1,0,1,1,0,0,0,1,0,0,5,50,0.24511565491664214,0.249071029429036
1,1,0,1,1,1,0,1,0,1,3,100,0.2571006135488783,0.24907088507412198
0,1,0,0,1,0,0,0,0,0,3,0,0.252848876352523,0.2490686283448281
0,1,0,0,0,1,1,0,1,0,5,0,0.21995151631024984,0.24906775532073194
1,0,1,0,1,0,1,0,0,0,3,0,0.2438052972617513,0.24906329512002118
1,1,0,0,0,0,1,1,0,1,5,0,0.2773692058877979,0.24906159138551512
0,1,0,1,0,1,0,0,1,0,5,50,0.22939606524473935,0.2490603427747083
1,0,1,1,1,1,0,1,1,1,3,50,0.2509688328083516,0.24904829270275952
0,1,0,0,0,1,1,0,1,0,3,0,0.22341584031371436,0.24904772267866543
1,0,0,1,1,1,1,1,1,0,3,50,0.24068433377718362,0.24904351780703707
0,1,1,0,0,1,1,1,1,1,5,50,0.2625819295149493,0.24903895761848993
0,1,1,1,1,1,1,1,1,1,3,100,0.2717060833308262,0.2490238995685477
1,1,1,1,0,1,1,0,1,1,3,0,0.23857877554063786,0.24902139513562052
0,1,0,1,1,0,0,1,1,0,3,50,0.2500499517330952,0.2490211181542928
1,0,1,0,1,0,1,0,0,1,3,0,0.23347012890380467,0.24902051408385786
0,1,0,1,0,0,1,1,0,0,5,0,0.25024923616651906,0.2490157852625993
0,1,1,0,0,1,1,1,0,0,5,100,0.24024147202993126,0.24900362668319515
0,1,0,1,0,1,1,0,1,0,5,50,0.2341319661333914,0.248997740158779
0,1,0,0,0,1,1,1,0,1,3,100,0.2516981634515928,0.24899661159371336
0,1,0,1,0,0,0,1,0,0,5,0,0.24530820274552373,0.24899618067415258
1,0,1,1,0,1,1,1,1,0,3,0,0.22469205517873572,0.24899487349233174
0,1,1,1,1,0,0,0,1,0,3,0,0.25869669907811377,0.24899473833026214
0,1,0,1,1,1,1,0,0,0,5,50,0.2276663749500603,0.24899410827447452
0,1,0,1,0,1,1,0,0,0,5,0,0.26563466643510597,0.24898257741581972
1,0,0,0,1,1,0,0,1,1,5,0,0.2609923883147369,0.24898167504427113
0,1,1,1,1,0,1,0,0,0,5,50,0.2410801852611243,0.24897746741444488
1,1,1,1,0,1,0,1,1,1,3,0,0.24207627934697426,0.24897733365640953
1,0,0,0,0,1,0,0,1,0,3,100,0.2532433423407092,0.24897632160582503
0,1,1,0,0,1,1,1,1,1,3,50,0.2627889166431751,0.2489750930690545
0,1,1,0,0,0,0,1,0,1,3,0,0.24028729364037596,0.2489720540270579
1,1,0,1,1,0,0,0,1,1,5,0,0.2510233481906104,0.24896753226879614
0,1,1,0,1,1,1,1,0,1,3,100,0.24239653128133085,0.24896547328123786
0,1,1,1,1,0,0,1,1,0,3,50,0.24533508686968325,0.24896532087973816
0,1,0,1,1,0,0,1,0,0,3,50,0.23931673137925377,0.24895818678909384
0,1,1,0,0,0,0,1,0,1,3,100,0.24724778089207247,0.24895725464485152
0,1,0,0,0,1,1,0,0,1,5,100,0.23783208718179086,0.2489564968736556
0,1,0,1,1,1,1,0,1,0,5,50,0.23375495045977787,0.24895538454598748
0,1,0,1,1,1,1,1,1,0,5,0,0.25463935424286244,0.24895511277991197
0,1,0,0,0,1,1,1,0,0,3,0,0.2397111768440429,0.24895302422088914
1,0,0,0,0,1,1,1,1,0,3,0,0.20907440571077007,0.2489498666195645
1,1,1,0,0,0,1,1,0,1,5,0,0.27895140381196326,0.24894404652337548
0,1,1,0,0,0,1,0,1,0,5,0,0.2452285112018984,0.24894235179809465
1,1,1,1,1,0,0,1,0,0,3,50,0.25319732820982244,0.2489411779069754
0,1,1,0,1,1,0,1,0,1,5,100,0.22408482373781904,0.24893478146031822
0,1,0,1,1,1,0,1,0,0,5,0,0.23843139056215198,0.24893388322703558
0,1,0,0,0,1,1,1,0,0,5,0,0.24375677976463941,0.24893263069497146
0,1,1,1,0,1,1,0,1,1,5,100,0.24474755364024223,0.2489291538392162
0,1,1,1,1,1,1,1,1,0,5,0,0.2527780779346262,0.24892531629714734
0,1,0,0,1,1,0,1,0,1,5,100,0.24122948194489954,0.24892450090902613
0,1,0,1,1,0,1,0,0,0,5,50,0.2321221736611536,0.2489237056228045
0,1,0,0,1,1,0,1,0,1,3,100,0.2643891453055024,0.24890864211423605
1,0,0,0,1,1,0,0,1,1,3,50,0.25664617346038854,0.24890727118503175
1,1,1,0,0,0,1,1,0,1,3,0,0.2787477049220936,0.24889936142187433
0,1,0,1,0,1,0,0,1,0,3,50,0.23245718520332442,0.2488945467482638
0,1,1,0,0,0,0,1,0,1,5,0,0.25237269778056953,0.24889448541519316
0,1,0,0,0,1,1,0,0,0,5,50,0.24755645636002835,0.2488884194247329
0,1,1,0,0,1,1,0,1,1,5,100,0.23384661228712703,0.24888681788253994
0,1,1,1,1,0,1,0,0,0,3,50,0.24574577647099685,0.24888632958732698
0,1,0,0,0,0,1,1,0,1,3,100,0.25796665629805304,0.2488835950993721
0,1,1,1,1,1,1,1,0,1,3,100,0.24104280044659074,0.24888146407392503
0,1,0,0,1,1,0,1,1,0,5,0,0.23012229438392165,0.24888107285608946
0,1,1,0,0,0,1,1,1,0,3,50,0.25076051830241647,0.24887892112171467
0,1,1,0,0,0,0,1,0,0,3,100,0.2442567985125969,0.24887427969870374
1,1,0,1,1,1,1,0,0,1,3,100,0.24869745700281884,0.24887240809830544
1,0,1,0,0,1,1,0,1,1,3,0,0.2468906937907082,0.24886843523568386
1,0,1,0,0,1,1,1,1,0,3,0,0.22118166163704855,0.24886563775173362
0,1,1,1,1,1,1,0,0,0,3,0,0.24559149468830277,0.24886485810144424
0,1,0,1,1,0,0,0,0,0,3,0,0.23209138044154404,0.24886449185250986
1,1,1,0,1,1,1,1,0,1,3,100,0.24191738042994218,0.24885718904326398
0,1,0,1,0,0,0,1,0,0,3,0,0.2349842569333985,0.24884879679040273
0,1,0,0,1,1,1,1,0,0,5,50,0.24768345201167755,0.24884465640386128
0,1,0,0,0,1,1,1,0,1,5,0,0.26966234757086016,0.2488432439555673
0,1,0,0,0,1,1,1,0,1,5,50,0.2567421725232086,0.24884235251086392
1,0,1,0,0,1,1,1,1,1,3,100,0.2403311239668185,0.24883882116085881
0,1,1,0,0,0,1,1,1,0,5,0,0.2625322613322329,0.24883460539386376
1,1,0,0,1,1,1,1,0,1,3,100,0.24519520261881758,0.24883107834706614
0,1,0,1,0,1,1,0,1,0,3,50,0.24167348904379543,0.2488280066253458
1,1,1,0,0,1,1,1,1,1,3,50,0.2387158452066061,0.24882373690276602
0,1,1,1,0,1,0,1,1,1,3,100,0.24038725018728865,0.24882291905665194
0,1,0,0,1,0,0,1,0,1,3,100,0.2640730093496801,0.24882011991889924
0,1,1,0,0,0,1,1,1,1,5,0,0.2767513410500816,0.2488128162726984
1,1,1,0,1,1,1,1,0,1,5,100,0.22901837111098167,0.24881207000210645
0,1,0,0,0,1,1,0,0,1,3,100,0.2581899493820376,0.248808198965152
0,1,1,1,1,0,0,0,0,0,3,100,0.23914331615004733,0.24880819510241392
0,1,1,0,1,1,0,0,1,0,5,0,0.24029275601567598,0.24880763147068313
0,1,1,0,0,1,0,0,1,1,5,100,0.21528291587826523,0.2488034437516024
0,1,0,0,0,1,0,0,0,0,5,100,0.226506166495358,0.2488018604147615
0,1,1,0,1,1,1,1,1,0,5,0,0.2479390290192102,0.24880091044027114
0,1,1,1,0,1,0,0,1,1,5,100,0.21955073831928354,0.24879856946325862
1,0,1,1,1,1,0,0,1,1,3,0,0.26437877521607583,0.24879623761603784
0,1,1,0,1,1,0,0,0,0,3,0,0.27177531358449597,0.24879247275435407
1,0,1,1,0,1,0,1,1,1,3,0,0.24580621451608806,0.24879173306654057
1,0,0,1,1,1,0,0,1,1,3,50,0.25842303391214994,0.2487913366711146
0,1,0,0,1,1,0,0,0,0,5,0,0.22429531937152272,0.24878694837940546
0,1,0,1,1,1,0,1,0,1,3,100,0.2533736844642595,0.24878135036874474
0,1,0,1,0,0,0,0,0,0,5,0,0.2416830859113725,0.24878028538072372
0,1,1,0,1,1,1,0,0,1,3,100,0.2434639951683636,0.24877923834750054
0,1,1,0,0,0,0,1,1,1,3,50,0.24223960176319795,0.24877680297079463
0,1,1,0,0,0,1,1,1,0,3,100,0.2617601165875959,0.24877388939926787
0,1,1,0,0,0,0,0,0,0,3,100,0.22304385271562208,0.2487692483458054
0,1,0,1,1,1,1,0,0,1,3,100,0.24763976629304355,0.2487679904418548
0,1,0,0,0,1,1,0,0,0,3,0,0.24342701777192857,0.2487677439705907
0,1,0,1,1,0,0,0,1,0,3,0,0.24390034155492155,0.24876719070602266
0,1,1,0,0,0,1,1,0,1,3,100,0.2545297737172859,0.24876712454153785
0,1,0,1,1,0,1,0,1,0,5,50,0.2356221060413269,0.248766088760691
0,1,0,1,1,1,1,0,1,0,3,0,0.24003308321226807,0.24876579790659842
0,1,0,1,0,1,0,0,1,0,5,0,0.24198606435209433,0.24876542230134646
0,1,0,1,1,0,1,0,0,0,3,0,0.2366892387692082,0.24876052571050522
0,1,1,1,1,1,1,0,1,0,5,0,0.24534086800042806,0.2487594063515201
1,1,0,0,0,1,1,1,1,1,3,50,0.25698385812095714,0.24875888312566544
1,1,1,0,1,0,0,1,0,1,5,50,0.22903243181427116,0.24875696740175451
0,1,1,0,1,0,0,1,0,1,5,100,0.24023998610228506,0.24875384124341324
1,0,1,1,1,0,0,0,1,1,5,50,0.26133823355399344,0.2487536951867786
0,1,1,0,1,0,0,1,1,0,3,50,0.23983565257999154,0.2487493600610528
1,1,1,1,1,1,1,1,0,1,3,100,0.24688453926210227,0.24874673532917752
0,1,0,0,1,0,0,1,0,1,3,50,0.2538733386117912,0.2487451293420057
0,1,1,1,0,1,1,0,1,1,3,100,0.2546178471750298,0.24874507462807455
0,1,0,0,0,1,1,0,0,1,5,0,0.23556105738192643,0.24874408856747904
0,1,1,0,0,0,0,1,1,0,3,100,0.2571468085850886,0.2487437315855605
0,1,0,0,1,0,0,1,0,1,5,100,0.2631701688070598,0.24874359766243517
1,1,0,0,0,1,1,1,1,0,5,0,0.25688752149204225,0.24874341914660514
1,1,0,1,0,0,1,0,1,1,3,0,0.2443152170738931,0.24874296488601838
0,1,0,0,0,1,1,0,0,1,5,50,0.24527623830446854,0.24874272073267578
0,1,1,1,1,1,1,1,0,1,5,100,0.21285753136341312,0.24874249828377532
0,1,0,0,0,1,1,1,0,1,3,0,0.2524287100042969,0.248742094272429
0,1,1,0,1,0,0,0,0,0,3,100,0.2567032732190754,0.24874046226455104
1,0,0,0,0,1,0,0,0,0,3,100,0.2572319125057923,0.24873714113570472
0,1,1,0,0,0,0,0,1,0,5,100,0.2377611124985377,0.24873289183368472
0,1,0,0,1,0,0,0,0,0,5,0,0.23365521079922363,0.24872874192099448
1,0,0,1,1,0,0,0,0,1,5,100,0.24419631804913616,0.2487248016444407
1,0,0,1,0,0,1,0,1,0,3,100,0.2729821483096227,0.24872325291601136
0,1,0,0,1,1,1,1,0,0,3,50,0.23920740705160706,0.2487232272165283
0,1,1,0,1,1,0,0,1,1,3,50,0.2694000230582246,0.24872319847407504
0,1,1,1,1,1,0,0,1,1,3,50,0.27990082493702195,0.24872282511306038
0,1,0,1,0,0,1,0,1,0,3,100,0.24308455425511033,0.2487227278715059
1,0,1,0,1,0,0,0,0,1,5,0,0.23407504149225303,0.24872194442407042
1,1,0,1,1,1,1,1,0,1,3,100,0.2502245192210692,0.24872116868729002
0,1,1,0,0,0,0,0,1,1,5,50,0.23554255181459471,0.24872109179390126
1,1,0,0,1,1,0,1,0,1,5,100,0.24589533528484522,0.24871778979926948
1,0,1,0,1,0,0,1,0,1,3,50,0.2463696175621062,0.24871621516978842
0,1,1,1,0,1,0,0,1,0,5,100,0.23378651910416443,0.24871336806611533
0,1,1,0,0,1,1,0,0,1,5,0,0.23479096016386897,0.2487110695143878
0,1,0,1,0,1,1,1,1,0,3,0,0.24809393207249272,0.24871062980898703
0,1,0,0,1,1,1,0,1,0,5,0,0.23157303529599546,0.2487076605691429
1,0,1,1,0,1,0,0,0,0,5,0,0.25559689747742353,0.248706547452604
0,1,1,0,0,0,1,1,1,1,5,50,0.2705547076231434,0.24870621872363183
1,0,0,0,1,0,0,0,1,1,5,50,0.25756591268168477,0.24870498478657382
0,1,0,0,0,0,1,1,0,0,5,0,0.27539396460301596,0.24870436906391827
1,0,0,0,1,1,0,0,1,1,3,0,0.25810600390484384,0.24870328362461577
0,1,1,0,0,1,1,0,1,1,3,100,0.24651697872633238,0.2487027386713983
0,1,1,1,1,1,0,0,1,1,5,50,0.2622671233750453,0.2487004520635657
1,1,1,1,0,0,1,0,1,1,3,0,0.23237097129093112,0.24869790587429094
0,1,1,0,0,1,1,1,0,1,5,0,0.25792202947283044,0.24869291061999088
1,0,1,0,1,0,0,0,0,0,5,0,0.23884752615787652,0.2486922467812974
0,1,1,1,0,0,0,0,0,0,3,100,0.241920348605043,0.24868818632984735
1,0,1,1,1,0,0,0,1,1,3,50,0.23755943776110694,0.24868757734132804
0,1,0,1,1,1,1,1,0,0,3,0,0.25121774376010164,0.24868718765846723
0,1,0,1,1,0,1,0,1,0,3,50,0.24360563722756445,0.24868177750956902
0,1,0,1,0,1,0,0,1,0,3,0,0.24488265666095005,0.2486813310839416
0,1,0,0,1,0,0,1,0,0,3,50,0.24507335165807373,0.24868037588889247
1,0,1,0,1,0,1,0,0,0,5,0,0.2541953460549931,0.2486777033625745
0,1,1,0,1,0,0,0,0,0,3,0,0.2517747791222353,0.24867677886890824
0,1,0,0,1,1,0,1,1,0,3,0,0.2357431436447144,0.2486745601939285
0,1,1,0,0,0,0,0,0,0,5,0,0.21239205774668068,0.24867423273705064
1,0,0,0,1,1,0,1,0,0,5,0,0.25148309131296953,0.24867288294674972
0,1,1,0,0,0,0,0,1,0,5,50,0.2244838705670712,0.24867195225163652
1,0,0,1,0,1,0,1,1,0,3,0,0.20586465280081206,0.2486715061178571
0,1,1,1,1,0,0,1,1,0,5,50,0.2693632354617828,0.2486687823553917
0,1,1,0,1,0,0,1,0,1,5,50,0.22928050437517392,0.24866735799192763
1,0,1,1,1,1,0,0,1,1,5,50,0.2642932462291632,0.248667257071456
0,1,0,1,1,1,1,1,0,0,3,50,0.24075922833019398,0.24866448820484122
0,1,0,0,1,0,1,0,0,0,3,50,0.24138884753351098,0.2486580198692109
1,0,1,1,1,1,1,1,1,0,3,0,0.2578013601592678,0.24865416702677384
0,1,1,0,0,0,1,1,1,0,3,0,0.24749960298064508,0.248652725023138
0,1,1,1,1,0,1,0,0,0,3,100,0.24270624765939613,0.24865245876495048
0,1,1,0,0,1,1,1,0,1,3,0,0.25899703465072554,0.24865235004712977
1,0,1,1,1,1,1,1,1,0,3,50,0.24896766194017783,0.2486518349712646
0,1,1,1,1,1,1,1,1,0,3,50,0.2356244105320381,0.24865077657988183
0,1,1,0,1,0,0,1,0,0,5,50,0.25471639700673054,0.24865071761445573
0,1,0,1,1,1,1,1,0,0,5,50,0.2482923379502569,0.24864952730140408
1,0,0,0,1,0,0,0,0,1,5,0,0.24842730602506297,0.24864919782454872
1,1,0,0,1,0,0,1,1,1,3,50,0.2534923171350046,0.24864855259788832
0,1,0,1,0,1,1,0,0,1,3,100,0.2542518985662051,0.2486485028798703
1,0,1,0,1,0,0,1,0,1,5,50,0.255041233744936,0.24864346748620444
1,0,0,0,1,0,0,0,0,1,5,100,0.23161726980977715,0.24864293930209494
0,1,1,0,1,1,0,1,0,1,3,100,0.24747494819423244,0.24864223813359826
0,1,1,1,0,1,1,0,1,0,3,0,0.26040038370840773,0.24864213724223355
0,1,1,0,0,1,1,0,1,0,3,0,0.24399453099538293,0.24863701105525213
0,1,1,0,1,1,1,0,1,0,5,0,0.24097031950021747,0.24863512711906602
