buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,predicted_win_prob,owned_sets,rank,points
1,1,1,0,1,1,1,1,1,0,4,50.0,0.10952286529903299,"brown, light_blue, pink, red, yellow, green, indigo, stations",50,50
1,1,0,1,1,0,0,1,0,1,4,50.0,0.10952255421204712,"brown, light_blue, orange, red, indigo, utilities",51,51
1,1,0,0,1,1,0,1,0,0,4,50.0,0.10949495573346298,"brown, light_blue, red, yellow, indigo",52,52
1,1,1,1,1,1,1,1,0,1,4,50.0,0.10945443069492493,"brown, light_blue, pink, orange, red, yellow, green, indigo, utilities",53,53
1,1,1,0,1,1,1,1,0,0,4,50.0,0.10942293261154441,"brown, light_blue, pink, red, yellow, green, indigo",54,54
1,1,1,1,0,1,0,1,1,1,4,50.0,0.10941658023405818,"brown, light_blue, pink, orange, yellow, indigo, stations, utilities",55,55
1,1,1,1,1,0,1,1,1,0,4,50.0,0.10940694320802336,"brown, light_blue, pink, orange, red, green, indigo, stations",56,56
1,1,0,0,1,1,0,1,1,0,4,50.0,0.1093919977176824,"brown, light_blue, red, yellow, indigo, stations",57,57
1,1,1,1,1,0,1,1,1,1,4,50.0,0.10938309200519107,"brown, light_blue, pink, orange, red, green, indigo, stations, utilities",58,58
1,1,0,1,1,1,0,1,0,1,4,50.0,0.1093668207239435,"brown, light_blue, orange, red, yellow, indigo, utilities",59,59
1,1,0,1,0,1,1,0,1,0,4,50.0,0.10935413293197933,"brown, light_blue, orange, yellow, green, stations",60,60
1,1,0,1,0,1,1,0,0,0,4,50.0,0.10929253787240392,"brown, light_blue, orange, yellow, green",61,61
1,1,1,1,1,1,0,1,1,0,4,50.0,0.10925064046517989,"brown, light_blue, pink, orange, red, yellow, indigo, stations",62,62
1,1,0,1,0,1,0,0,0,1,4,50.0,0.1092374900028585,"brown, light_blue, orange, yellow, utilities",63,63
1,1,1,1,1,0,0,1,1,0,4,50.0,0.1092259487879039,"brown, light_blue, pink, orange, red, indigo, stations",64,64
1,1,0,1,0,1,1,0,0,1,4,50.0,0.1091886342721347,"brown, light_blue, orange, yellow, green, utilities",65,65
1,1,0,1,1,1,1,0,1,0,4,50.0,0.10917511483219904,"brown, light_blue, orange, red, yellow, green, stations",66,66
1,1,0,0,1,1,0,0,0,1,4,50.0,0.10912973531126505,"brown, light_blue, red, yellow, utilities",67,67
1,1,0,1,0,0,0,0,1,1,4,50.0,0.10912087289527231,"brown, light_blue, orange, stations, utilities",68,68
1,1,1,1,0,0,0,1,0,0,4,50.0,0.10905457906699638,"brown, light_blue, pink, orange, indigo",69,69
1,1,0,1,1,0,0,1,1,0,4,50.0,0.10903742280658404,"brown, light_blue, orange, red, indigo, stations",70,70
1,1,0,1,1,0,1,0,1,0,4,50.0,0.10903036700877984,"brown, light_blue, orange, red, green, stations",71,71
1,1,0,1,0,0,1,0,0,0,4,50.0,0.10901179527698161,"brown, light_blue, orange, green",72,72
1,1,0,1,1,0,0,0,1,1,4,50.0,0.10900693459993419,"brown, light_blue, orange, red, stations, utilities",73,73
1,1,0,1,0,1,1,1,1,0,4,50.0,0.10898667038999459,"brown, light_blue, orange, yellow, green, indigo, stations",74,74
1,1,0,1,1,0,1,0,0,0,4,50.0,0.1089761392701499,"brown, light_blue, orange, red, green",75,75
1,1,0,0,1,1,1,0,1,0,4,50.0,0.10897153757279725,"brown, light_blue, red, yellow, green, stations",76,76
1,1,1,0,1,1,0,1,0,1,4,50.0,0.10895178215813466,"brown, light_blue, pink, red, yellow, indigo, utilities",77,77
1,1,1,1,0,1,1,0,0,1,4,50.0,0.10894559898697828,"brown, light_blue, pink, orange, yellow, green, utilities",78,78
1,1,0,1,1,1,0,0,0,1,4,50.0,0.10893132691238969,"brown, light_blue, orange, red, yellow, utilities",79,79
1,1,1,1,1,0,1,0,1,1,4,50.0,0.10892956152961472,"brown, light_blue, pink, orange, red, green, stations, utilities",80,80
1,1,1,1,0,0,1,0,1,1,4,50.0,0.10892216997233609,"brown, light_blue, pink, orange, green, stations, utilities",81,81
1,1,1,1,1,0,1,1,0,0,4,50.0,0.1088872799696147,"brown, light_blue, pink, orange, red, green, indigo",82,82
1,1,1,1,0,0,0,1,1,1,4,50.0,0.10886304823849166,"brown, light_blue, pink, orange, indigo, stations, utilities",83,83
1,1,1,1,1,0,0,1,1,1,4,50.0,0.1088433432049569,"brown, light_blue, pink, orange, red, indigo, stations, utilities",84,84
1,1,1,0,0,1,1,1,0,1,4,50.0,0.10883556450957863,"brown, light_blue, pink, yellow, green, indigo, utilities",85,85
1,1,0,1,1,1,1,1,0,1,4,50.0,0.10882634862083515,"brown, light_blue, orange, red, yellow, green, indigo, utilities",86,86
0,0,0,0,1,1,0,0,1,0,4,50.0,0.1088064937127708,"red, yellow, stations",87,87
1,1,1,1,0,0,1,1,0,1,4,50.0,0.10880029378567098,"brown, light_blue, pink, orange, green, indigo, utilities",88,88
1,1,0,1,0,1,0,0,1,0,4,50.0,0.10879891097183947,"brown, light_blue, orange, yellow, stations",89,89
1,1,0,1,1,0,0,0,1,0,4,50.0,0.10874691697430483,"brown, light_blue, orange, red, stations",90,90
1,1,1,1,1,1,1,1,1,0,4,50.0,0.10873873308948963,"brown, light_blue, pink, orange, red, yellow, green, indigo, stations",91,91
1,1,1,0,1,1,0,1,0,0,4,50.0,0.10872361644512511,"brown, light_blue, pink, red, yellow, indigo",92,92
1,1,1,1,1,0,1,0,0,0,4,50.0,0.10872243722613809,"brown, light_blue, pink, orange, red, green",93,93
